article_id	verdict	hypothesis	review_basis
85c20fbfaa5061557ad0cc71d3ce56b2	K	T6	crop damage from Taal SO2
f5a309d0e41e3b5bb5904b15efffabbd	K	T1b	fish kill 30t tilapia
8d2dbfcf32f23ce76a7a329f190fc27c	D	-	casualties only, no food-system content
cbffe6a3c031682d75b4e4a5a702c32c	D	-	storm debris cleanup, no food content
17d8feff2dbe10543f726122b1dd108d	D	-	bare calamity declaration, no food/displacement content
c0aaab54fbd1524d1c08023dbc657ed0	D	-	FDA food-safety advisory, not food insecurity
a9dade2c7948efb71b34f737842c6e92	D	-	bare calamity declaration, no food content
001b7ab1ad15218858d13799ebb89f6b	D	-	bare calamity declaration, no food content
56c62848b74950b437f58623c8b12368	D	-	river restoration event, not food insecurity
7ff117c0b0dab1a74dab6bc39b9bb01d	D	-	cooperative feature story, not food insecurity
b6a56d52fc935a2bb5e28dd309bce75e	K	T6	fall armyworm pest damage to vegetable/corn farms
6b7e643a5b959565c5855927cdcfad6d	D	-	routine planting under favourable weather, no insecurity signal
dfd6ca8bd0e0ef53124ff45a73c55481	K	T1	fish supply shortage in city market
9ec8f6a71012f10b5dfc14a182088a7c	D	-	coral conservation, not food insecurity
1a9b017a8147f559b0a86c362a157e1e	D	-	cityhood plebiscite
57beb7243b8fedbc50f49c8de0ff3100	K	T1b	ASF calamity, livestock supply loss
305919756994d86c5bf7e9aef4accaf5	D	-	festival feature, no food-insecurity evidence
4e5637da7233051e589c622324ec1fcd	D	-	mural/art feature
c1e4455689db4ba8277e981157e02c56	D	-	architecture lifestyle feature
90b48d6d6676fe46019875d25d570a14	K	T4	explicit hunger among Taal-affected households
3d86cbc7dc7243a489d33db52905a2d2	D	-	law-enforcement seizure, hog-supply link not evidenced
cdd3375d8b7e6400bb774f9416724a05	D	-	national flood-infrastructure politics, no food content
9c9ad6fca32abe3f76e9329168062b1a	D	-	ceremonial observance
0d8dd41c423c10999fbbf29c3370c47b	K	T4	Taal Lake search collapses fisherfolk livelihoods
97ef81bc5a683c58dc75ffea45dfc030	K	T1b	fish kill, dead fish on Taal Lake shore
